angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"[836, 164, 296, 377]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[851, 190, 283, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 190, 282, 342]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 189, 283, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[852, 189, 283, 343]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[853, 191, 282, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[853, 191, 282, 340]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[838, 164, 295, 378]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[856, 193, 279, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[856, 193, 279, 336]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[839, 164, 296, 378]",0.0,0.0,0.98,0.0,0.0,0.01
0.0,"[838, 164, 295, 378]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[838, 164, 295, 378]",0.0,0.0,0.97,0.0,0.0,0.02
0.0,"[837, 166, 298, 379]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[838, 166, 297, 377]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[856, 192, 280, 337]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[855, 191, 281, 339]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[856, 191, 280, 339]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[853, 189, 283, 341]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[853, 188, 284, 342]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[854, 191, 281, 338]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[854, 190, 280, 339]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[854, 190, 280, 339]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[850, 183, 287, 348]",0.0,0.0,1.0,0.0,0.0,0.0
